dataset,model,metric,metric_display,mean,std,n,cell,source_file
APAVA,EEGNet,accuracy,Accuracy,0.509387129369529,0.1416817368897165,5,0.5094 ± 0.1417,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,accuracy,Accuracy,0.6028004203197808,0.12990138644425223,5,0.6028 ± 0.1299,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,accuracy,Accuracy,0.5976774691798077,0.049110531142073414,5,0.5977 ± 0.0491,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,accuracy,Accuracy,0.5309294799107154,0.16051176038326315,5,0.5309 ± 0.1605,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,accuracy,Accuracy,0.5014114492290049,0.1384352030575766,5,0.5014 ± 0.1384,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,accuracy,Accuracy,0.6884390024800445,0.1404692618243637,5,0.6884 ± 0.1405,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,accuracy,Accuracy,0.5796217161871721,0.20483131290111187,5,0.5796 ± 0.2048,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,accuracy,Accuracy,0.5514230101821676,0.1682240681101857,5,0.5514 ± 0.1682,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,accuracy,Accuracy,0.5831450148539572,0.1881646810168581,5,0.5831 ± 0.1882,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,average_precision,Avg Prec,0.45587340069693294,0.2702767443657308,5,0.4559 ± 0.2703,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,average_precision,Avg Prec,0.5843991378221313,0.3146726962120057,5,0.5844 ± 0.3147,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,average_precision,Avg Prec,0.6108726369371681,0.3233268623954434,5,0.6109 ± 0.3233,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,average_precision,Avg Prec,0.4862770570323448,0.31310896341825023,5,0.4863 ± 0.3131,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,average_precision,Avg Prec,0.35325105393333533,0.2276124348884712,5,0.3533 ± 0.2276,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,average_precision,Avg Prec,0.5288248976339398,0.3779648887936125,5,0.5288 ± 0.3780,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,average_precision,Avg Prec,0.7710939133700718,0.2112908780478068,5,0.7711 ± 0.2113,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,average_precision,Avg Prec,0.6886990272437545,0.2453162362620046,5,0.6887 ± 0.2453,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,average_precision,Avg Prec,0.6975644840429348,0.23724974279199162,5,0.6976 ± 0.2372,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,balanced_accuracy,Balanced Accuracy,0.4885379901438796,0.1588537122481368,5,0.4885 ± 0.1589,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,balanced_accuracy,Balanced Accuracy,0.6210537056783968,0.12092189785743808,5,0.6211 ± 0.1209,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,balanced_accuracy,Balanced Accuracy,0.578929883005964,0.09331071517713098,5,0.5789 ± 0.0933,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,balanced_accuracy,Balanced Accuracy,0.5501015752895165,0.1818863767505044,5,0.5501 ± 0.1819,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,balanced_accuracy,Balanced Accuracy,0.5239413657992695,0.07558526333636492,5,0.5239 ± 0.0756,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,balanced_accuracy,Balanced Accuracy,0.6904202086325606,0.1449983967035205,5,0.6904 ± 0.1450,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,balanced_accuracy,Balanced Accuracy,0.657210911129103,0.1464210953341744,5,0.6572 ± 0.1464,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,balanced_accuracy,Balanced Accuracy,0.6037724695225956,0.1431427101887526,5,0.6038 ± 0.1431,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,balanced_accuracy,Balanced Accuracy,0.6550878119643623,0.1566078727506957,5,0.6551 ± 0.1566,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,f1_macro,F1 Score (Macro),0.4596659357326856,0.1727104711759367,5,0.4597 ± 0.1727,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,f1_macro,F1 Score (Macro),0.5173661747830856,0.10292566497717881,5,0.5174 ± 0.1029,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,f1_macro,F1 Score (Macro),0.47638836459849737,0.09605533490762559,5,0.4764 ± 0.0961,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,f1_macro,F1 Score (Macro),0.4777112618522631,0.18115363017869549,5,0.4777 ± 0.1812,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,f1_macro,F1 Score (Macro),0.4054458858790748,0.08717370940641789,5,0.4054 ± 0.0872,./results/bimtta_APAVA_fold0-5_seed2025.pkl
