Datasets,Metrics,EEGNet,GraphSleepNet,SalientSleepNet,MMCNN,BiM-TTA,CBraMod,MOMENT-linear,MOMENT-full,MOMENT-LoRA,StylePrior-MOMENT + STSA,StylePrior-MOMENT (source)
APAVA,Accuracy,0.5094 ± 0.1417,0.6028 ± 0.1299,0.5977 ± 0.0491,0.5309 ± 0.1605,0.5014 ± 0.1384,0.6884 ± 0.1405,0.5796 ± 0.2048,0.5514 ± 0.1682,0.5831 ± 0.1882,0.6763 ± 0.1658,0.6075 ± 0.1903
,Balanced Accuracy,0.4885 ± 0.1589,0.6211 ± 0.1209,0.5789 ± 0.0933,0.5501 ± 0.1819,0.5239 ± 0.0756,0.6904 ± 0.1450,0.6572 ± 0.1464,0.6038 ± 0.1431,0.6551 ± 0.1566,0.7109 ± 0.1540,0.6777 ± 0.1651
,F1 Score (Macro),0.4597 ± 0.1727,0.5174 ± 0.1029,0.4764 ± 0.0961,0.4777 ± 0.1812,0.4054 ± 0.0872,0.6407 ± 0.1902,0.4794 ± 0.1705,0.4680 ± 0.1564,0.4885 ± 0.1433,0.5968 ± 0.1649,0.5097 ± 0.1263
,Precision (Macro),0.5297 ± 0.1436,0.6173 ± 0.1527,0.5318 ± 0.1254,0.5620 ± 0.1762,0.5244 ± 0.1208,0.6750 ± 0.1381,0.6162 ± 0.0926,0.5586 ± 0.1030,0.6063 ± 0.1133,0.6422 ± 0.1498,0.6102 ± 0.1146
,Recall (Macro),0.4568 ± 0.2003,0.5508 ± 0.1512,0.5189 ± 0.1433,0.4949 ± 0.2123,0.4613 ± 0.0924,0.6409 ± 0.2240,0.5730 ± 0.1368,0.5292 ± 0.1468,0.5700 ± 0.1419,0.6305 ± 0.1860,0.5874 ± 0.1386
,ROC AUC,0.4280 ± 0.3080,0.5639 ± 0.3406,0.5909 ± 0.3152,0.4443 ± 0.3068,0.3693 ± 0.1918,0.6269 ± 0.3398,0.7691 ± 0.1277,0.6305 ± 0.1753,0.6919 ± 0.1670,0.6017 ± 0.3389,0.6041 ± 0.3413
,Avg Prec,0.4559 ± 0.2703,0.5844 ± 0.3147,0.6109 ± 0.3233,0.4863 ± 0.3131,0.3533 ± 0.2276,0.5288 ± 0.3780,0.7711 ± 0.2113,0.6887 ± 0.2453,0.6976 ± 0.2372,0.5654 ± 0.3491,0.5685 ± 0.3513
Sleep-EDF,Accuracy,0.7254 ± 0.0944,0.7227 ± 0.0827,0.7742 ± 0.0801,0.7829 ± 0.0693,0.7784 ± 0.0514,,0.7847 ± 0.0753,0.8230 ± 0.0760,0.8131 ± 0.0691,0.8277 ± 0.0490,0.8359 ± 0.0646
,Balanced Accuracy,0.6109 ± 0.0610,0.5597 ± 0.0540,0.5825 ± 0.0594,0.6376 ± 0.0579,0.5452 ± 0.0646,,0.4819 ± 0.0299,0.5426 ± 0.0417,0.5406 ± 0.0452,0.5027 ± 0.0599,0.5713 ± 0.0423
,F1 Score (Macro),0.5081 ± 0.0656,0.4792 ± 0.0567,0.5171 ± 0.0659,0.5528 ± 0.0548,0.5054 ± 0.0498,,0.4421 ± 0.0492,0.5190 ± 0.0549,0.5041 ± 0.0563,0.4981 ± 0.0516,0.5457 ± 0.0583
,Precision (Macro),0.5240 ± 0.0532,0.5006 ± 0.0494,0.5219 ± 0.0610,0.5613 ± 0.0506,0.5442 ± 0.0414,,0.4583 ± 0.0599,0.5428 ± 0.0746,0.5171 ± 0.0764,0.5666 ± 0.0594,0.5622 ± 0.0808
,Recall (Macro),0.6109 ± 0.0610,0.5597 ± 0.0540,0.5825 ± 0.0594,0.6376 ± 0.0579,0.5452 ± 0.0646,,0.4819 ± 0.0299,0.5426 ± 0.0417,0.5406 ± 0.0452,0.5027 ± 0.0599,0.5713 ± 0.0423
,ROC AUC,,,,,,,0.8946 ± 0.0471,0.9248 ± 0.0463,0.9193 ± 0.0482,0.9263 ± 0.0290,0.9340 ± 0.0403
,Avg Prec,,,,,,,0.5063 ± 0.0543,0.5681 ± 0.0574,0.5610 ± 0.0578,0.0000 ± 0.0000,0.0000 ± 0.0000
REFED,Accuracy,0.3362 ± 0.0947,0.6118 ± 0.1139,0.3290 ± 0.2036,0.5474 ± 0.1027,0.6360 ± 0.1031,,0.7599 ± 0.0561,0.7449 ± 0.0585,0.7557 ± 0.0568,0.6866 ± 0.0549,0.7119 ± 0.0612
